Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Is_Partnered,Education_Level,Tenure_days,Age,TotalMntSpent,Age_group,Is_Partnered_num,Cluster
1951,Graduation,Together,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,Partnered,Bachelors,468,63,444,Senior Adult (>45),1,2
1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,NotPartnered,Bachelors,543,45,75,Senior Adult (>45),0,1
1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,Partnered,Bachelors,398,38,257,Adult (30-45),1,0
1989,Graduation,Married,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,Partnered,Bachelors,394,25,131,Young Adult (<30),1,1
1965,PhD,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,Partnered,Postgraduate,219,49,1672,Senior Adult (>45),1,3
1989,Master,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,NotPartnered,Postgraduate,38,25,30,Young Adult (<30),0,1
1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,Partnered,Postgraduate,414,51,318,Senior Adult (>45),1,1
1970,Graduation,Together,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,Partnered,Bachelors,627,44,120,Adult (30-45),1,2
1952,PhD,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,NotPartnered,Postgraduate,608,62,302,Senior Adult (>45),0,2
1946,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,Partnered,Postgraduate,494,68,1196,Senior Adult (>45),1,3
1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,NotPartnered,Postgraduate,304,63,65,Senior Adult (>45),0,0
1970,PhD,Married,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,Partnered,Postgraduate,180,44,913,Adult (30-45),1,2
1976,2n Cycle,Married,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,Partnered,Postgraduate,300,38,81,Adult (30-45),1,1
1973,Graduation,Widow,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,NotPartnered,Bachelors,138,41,67,Adult (30-45),0,2
1943,PhD,Divorced,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,NotPartnered,Postgraduate,513,71,902,Senior Adult (>45),0,2
1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,Partnered,Bachelors,426,34,1395,Adult (30-45),1,3
1985,Master,Married,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,Partnered,Postgraduate,474,29,53,Young Adult (<30),1,1
1957,Graduation,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,Partnered,Bachelors,552,57,22,Senior Adult (>45),1,2
1975,Master,Married,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,Partnered,Postgraduate,270,39,31,Adult (30-45),1,1
1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,NotPartnered,Bachelors,1,38,984,Adult (30-45),0,3
1996,2n Cycle,Married,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,Partnered,Postgraduate,597,18,122,Young Adult (<30),1,1
1968,Graduation,Together,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,Partnered,Bachelors,401,46,55,Senior Adult (>45),1,1
1954,PhD,Married,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,Partnered,Postgraduate,598,60,1319,Senior Adult (>45),1,2
1957,Graduation,Widow,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,NotPartnered,Bachelors,48,57,507,Senior Adult (>45),0,2
1964,Master,Married,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,Partnered,Postgraduate,687,50,1693,Senior Adult (>45),1,3
1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,NotPartnered,Bachelors,543,37,72,Adult (30-45),0,1
1977,Graduation,Divorced,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,NotPartnered,Bachelors,22,37,1617,Adult (30-45),0,3
1978,Graduation,Married,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,Partnered,Bachelors,382,36,606,Adult (30-45),1,0
1955,Master,Together,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,Partnered,Postgraduate,587,59,1957,Senior Adult (>45),1,3
1966,Graduation,Divorced,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,NotPartnered,Bachelors,453,48,1093,Senior Adult (>45),0,3
1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,NotPartnered,Bachelors,62,26,29,Young Adult (<30),0,1
1968,PhD,Married,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,Partnered,Postgraduate,118,46,518,Senior Adult (>45),1,2
1982,Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,NotPartnered,Postgraduate,360,32,1438,Adult (30-45),0,3
1975,Graduation,Together,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,Partnered,Bachelors,660,39,612,Adult (30-45),1,0
1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,NotPartnered,Bachelors,496,62,884,Senior Adult (>45),0,2
1951,PhD,Widow,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,NotPartnered,Postgraduate,383,63,606,Senior Adult (>45),0,2
1948,Graduation,Together,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,Partnered,Bachelors,205,66,1076,Senior Adult (>45),1,3
1971,Graduation,Married,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,Partnered,Bachelors,404,43,34,Adult (30-45),1,1
1967,Graduation,Together,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,Partnered,Bachelors,49,47,11,Senior Adult (>45),1,0
1979,2n Cycle,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,NotPartnered,Postgraduate,102,35,1274,Adult (30-45),0,3
1958,Graduation,Together,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,Partnered,Bachelors,275,56,653,Senior Adult (>45),1,2
1970,Graduation,Together,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,Partnered,Bachelors,447,44,1562,Adult (30-45),1,2
1954,Master,Married,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,Partnered,Postgraduate,656,60,1253,Senior Adult (>45),1,3
1959,Graduation,Married,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,Partnered,Bachelors,469,55,863,Senior Adult (>45),1,2
1975,PhD,Married,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,Partnered,Postgraduate,450,39,661,Adult (30-45),1,0
1952,Graduation,Married,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,Partnered,Bachelors,60,62,65,Senior Adult (>45),1,1
1977,Graduation,Divorced,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,NotPartnered,Bachelors,557,37,13,Adult (30-45),0,1
1972,Master,Married,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,Partnered,Postgraduate,671,42,1890,Adult (30-45),1,3
1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,NotPartnered,Bachelors,625,38,2209,Adult (30-45),0,3
1976,2n Cycle,Together,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,Partnered,Postgraduate,298,38,18,Adult (30-45),1,1
1965,Graduation,Together,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,Partnered,Bachelors,543,49,692,Senior Adult (>45),1,3
1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,NotPartnered,Bachelors,669,29,165,Young Adult (<30),0,1
1969,Graduation,Married,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,Partnered,Bachelors,371,45,16,Senior Adult (>45),1,1
1973,2n Cycle,Married,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,Partnered,Postgraduate,361,41,79,Adult (30-45),1,1
1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,Partnered,Postgraduate,414,51,318,Senior Adult (>45),1,1
1987,Graduation,Divorced,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,NotPartnered,Bachelors,124,27,778,Young Adult (<30),0,3
1960,Graduation,Married,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,Partnered,Bachelors,322,54,56,Senior Adult (>45),1,0
1970,Master,Married,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,Partnered,Postgraduate,348,44,151,Adult (30-45),1,0
1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,NotPartnered,Bachelors,32,57,372,Senior Adult (>45),0,2
1973,Graduation,Married,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,Partnered,Bachelors,48,41,1366,Adult (30-45),1,3
1967,Graduation,Together,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,Partnered,Bachelors,159,47,194,Senior Adult (>45),1,2
1972,Master,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,NotPartnered,Postgraduate,98,42,32,Adult (30-45),0,1
1970,PhD,Married,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,Partnered,Postgraduate,36,44,43,Adult (30-45),1,1
1983,Graduation,Married,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,Partnered,Bachelors,38,31,45,Adult (30-45),1,1
1960,Graduation,Widow,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,NotPartnered,Bachelors,584,54,606,Senior Adult (>45),0,2
1972,Graduation,Divorced,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,NotPartnered,Bachelors,444,42,63,Adult (30-45),0,0
1951,2n Cycle,Married,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,Partnered,Postgraduate,210,63,978,Senior Adult (>45),1,3
1983,PhD,Married,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,Partnered,Postgraduate,374,31,410,Adult (30-45),1,1
1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,NotPartnered,Postgraduate,341,54,72,Senior Adult (>45),0,2
1959,PhD,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,NotPartnered,Postgraduate,91,55,55,Senior Adult (>45),0,2
1979,Graduation,Together,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,Partnered,Bachelors,435,35,1169,Adult (30-45),1,2
1945,PhD,Married,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,Partnered,Postgraduate,408,69,1120,Senior Adult (>45),1,3
1959,Graduation,Married,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,Partnered,Bachelors,52,55,1097,Senior Adult (>45),1,3
1979,Basic,Together,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,Partnered,Low_Level,201,35,29,Adult (30-45),1,1
1964,Graduation,Married,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,Partnered,Bachelors,278,50,187,Senior Adult (>45),1,0
1969,Graduation,Married,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,Partnered,Bachelors,512,45,910,Senior Adult (>45),1,2
1978,Graduation,Single,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,NotPartnered,Bachelors,557,36,145,Adult (30-45),0,1
1960,Master,Married,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,Partnered,Postgraduate,569,54,850,Senior Adult (>45),1,3
1979,Graduation,Together,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,Partnered,Bachelors,239,35,969,Adult (30-45),1,2
1991,PhD,Single,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,NotPartnered,Postgraduate,596,23,1820,Young Adult (<30),0,3
1963,Master,Together,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,Partnered,Postgraduate,4,51,608,Senior Adult (>45),1,2
1991,Graduation,Single,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,NotPartnered,Bachelors,543,23,730,Young Adult (<30),0,3
1980,PhD,Married,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,Partnered,Postgraduate,564,34,551,Adult (30-45),1,1
1962,Graduation,Single,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,NotPartnered,Bachelors,292,52,114,Senior Adult (>45),0,0
1970,Graduation,Married,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,Partnered,Bachelors,156,44,1724,Adult (30-45),1,3
1978,2n Cycle,Married,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,Partnered,Postgraduate,495,36,577,Adult (30-45),1,1
1967,2n Cycle,Together,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,Partnered,Postgraduate,353,47,81,Senior Adult (>45),1,0
1969,Graduation,Together,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,Partnered,Bachelors,227,45,33,Senior Adult (>45),1,1
1953,Master,Together,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,Partnered,Postgraduate,374,61,660,Senior Adult (>45),1,2
1967,Master,Single,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,NotPartnered,Postgraduate,125,47,80,Senior Adult (>45),0,1
1985,Master,Married,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,Partnered,Postgraduate,298,29,30,Young Adult (<30),1,1
1976,Graduation,Divorced,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,NotPartnered,Bachelors,433,38,43,Adult (30-45),0,1
1983,Graduation,Single,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,NotPartnered,Bachelors,474,31,1135,Adult (30-45),0,3
1965,2n Cycle,Together,71488.0,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,Partnered,Postgraduate,496,49,559,Senior Adult (>45),1,3
1984,Graduation,Single,79607.0,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,NotPartnered,Bachelors,434,30,1923,Adult (30-45),0,3
1953,Master,Married,54348.0,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,Partnered,Postgraduate,21,61,90,Senior Adult (>45),1,0
1956,PhD,Together,77376.0,1,1,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,Partnered,Postgraduate,50,58,661,Senior Adult (>45),1,0
1952,Graduation,Married,62998.0,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,Partnered,Bachelors,272,62,463,Senior Adult (>45),1,2
1958,Master,Alone,61331.0,1,1,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,NotPartnered,Postgraduate,476,56,632,Senior Adult (>45),0,0
1969,Graduation,Married,73448.0,0,0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,Partnered,Bachelors,139,45,725,Senior Adult (>45),1,3
1964,PhD,Married,41551.0,1,1,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,Partnered,Postgraduate,319,50,279,Senior Adult (>45),1,0
1967,PhD,Together,62981.0,0,0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,Partnered,Postgraduate,469,47,1482,Senior Adult (>45),1,3
1976,Basic,Divorced,9548.0,1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,NotPartnered,Low_Level,690,38,29,Adult (30-45),0,1
1959,PhD,Married,33762.0,2,1,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,Partnered,Postgraduate,357,55,106,Senior Adult (>45),1,0
1973,PhD,Alone,35860.0,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,NotPartnered,Postgraduate,41,41,49,Adult (30-45),0,0
1965,PhD,Divorced,36921.0,1,1,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,NotPartnered,Postgraduate,336,49,38,Senior Adult (>45),0,0
1992,Master,Single,92859.0,0,0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,NotPartnered,Postgraduate,618,22,2077,Young Adult (<30),0,3
1976,Master,Together,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,Partnered,Postgraduate,227,38,1053,Adult (30-45),1,2
1962,Graduation,Married,86111.0,0,0,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,Partnered,Bachelors,436,52,1385,Senior Adult (>45),1,3
1974,PhD,Single,68352.0,0,1,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,NotPartnered,Postgraduate,305,40,871,Adult (30-45),0,2
1988,Graduation,Together,41883.0,1,0,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,Partnered,Bachelors,467,26,312,Young Adult (<30),1,1
1976,Graduation,Married,59809.0,0,2,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,Partnered,Bachelors,619,38,877,Adult (30-45),1,2
1975,Graduation,Married,23957.0,1,0,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,Partnered,Bachelors,609,39,68,Adult (30-45),1,1
1981,Graduation,Together,38547.0,1,0,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,Partnered,Bachelors,305,33,22,Adult (30-45),1,1
1973,2n Cycle,Married,35688.0,2,1,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,Partnered,Postgraduate,676,41,211,Adult (30-45),1,0
1966,Master,Married,49605.0,0,0,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,Partnered,Postgraduate,8,48,127,Senior Adult (>45),1,1
1953,Master,Married,59354.0,0,2,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,Partnered,Postgraduate,66,61,459,Senior Adult (>45),1,2
